All stats are averaged over 10-runs,,,,,,,
1026,349,3,3,5434,213.174,196.6,2.17E+07
1026,348,3,3,5481.4,179.837,200,2.19E+07
1026,347,3,3,5820.5,552.142,189.8,2.33E+07
1026,346,3,3,5733.3,123.418,200,2.29E+07
1026,345,3,3,5657.8,590.442,194.2,2.26E+07
1026,344,3,3,5498.9,239.835,196.6,2.20E+07
1026,343,3,4,9716.2,521.723,108.9,3.89E+07
1026,342,3,4,9782.1,239,108.8,3.91E+07
1026,341,3,4,9400.2,180.372,111,3.76E+07
1026,340,3,4,9632.8,232.704,111,3.85E+07
1026,339,3,4,9349.5,305.062,112.4,3.74E+07
1026,338,3,4,9344.6,166.119,111,3.74E+07
1026,337,3,4,9142,301.109,116.6,3.66E+07
1026,336,3,4,8989.1,185.735,120.8,3.60E+07
1026,335,3,4,9033.6,224.3,120.8,3.61E+07
1026,334,3,4,9297.3,159.481,111,3.72E+07
1026,333,3,4,8705.1,229.664,123.6,3.48E+07
1026,332,3,4,8723.7,95.2366,125,3.49E+07
1026,331,3,4,8629,192.852,125,3.45E+07
1026,330,3,4,8992.9,179.466,118,3.60E+07
1026,329,3,4,8420.4,186.151,125,3.37E+07
1026,328,3,4,8583,161.662,125,3.43E+07
1026,327,3,4,8270.9,186.842,128.4,3.31E+07
1026,326,3,4,8908.4,120.751,122.2,3.56E+07
1026,325,3,4,8303.9,180.85,125,3.32E+07
1026,324,3,4,8494.6,266.318,123.6,3.40E+07
1026,323,3,4,8283.3,325.877,125.3,3.31E+07
1026,322,3,4,9561,243.059,111,3.82E+07
1026,321,3,4,8207.8,466.898,130.4,3.28E+07
1026,320,3,4,8153.1,212.456,131.8,3.26E+07
1026,319,3,4,7992.7,232.903,133.5,3.20E+07
1026,318,3,4,8142.4,257.84,128.4,3.26E+07
1026,317,3,4,8495.7,191.709,125,3.40E+07
1026,316,3,4,7960.7,155.242,133.5,3.18E+07
1026,315,3,4,7796,242.697,138.6,3.12E+07
1026,314,3,4,8151.2,302.501,130.1,3.26E+07
1026,313,3,4,7681.7,219.054,140.3,3.07E+07
1026,312,3,4,7897.1,156.144,138.6,3.16E+07
1026,311,3,4,7683.8,168.86,142,3.07E+07
1026,310,3,4,7930.5,227.382,136.9,3.17E+07
1026,309,3,4,7467.3,146.012,142,2.99E+07
1026,308,3,4,7745.2,232.341,138.6,3.10E+07
1026,307,3,4,7463.5,184.614,142,2.99E+07
1026,306,3,4,7564.1,206.262,142,3.03E+07
1026,305,3,4,7209.5,141.347,144.4,2.88E+07
1026,304,3,4,7745.9,579.964,135.5,3.10E+07
1026,303,3,4,7562.8,685.135,142,3.03E+07
1026,302,3,4,7644,320.123,138.6,3.06E+07
1026,301,3,4,7106.8,346.054,152.3,2.84E+07
1026,300,3,4,7386,197.097,142,2.95E+07
1026,299,3,4,7174.6,427.622,147.5,2.87E+07
1026,298,3,4,7435.2,266.767,142,2.97E+07
1026,297,3,4,6993.8,88.8063,151.6,2.80E+07
1026,296,3,4,7044.2,179.821,151.6,2.82E+07
1026,295,3,4,7197,622.714,152.3,2.88E+07
1026,294,3,4,7048.4,176.279,154,2.82E+07
1026,293,3,4,6857,247.296,163.6,2.74E+07
1026,292,3,4,6762.4,170.087,161.2,2.71E+07
1026,291,3,4,6674.4,289.868,161.2,2.67E+07
1026,290,3,4,7057.9,383.738,154,2.82E+07
1026,289,3,4,6750.2,361.107,161.2,2.70E+07
1026,288,3,4,6748.1,208.478,163.6,2.70E+07
1026,287,3,4,6419,172.938,166,2.57E+07
1026,286,3,4,6756.6,233.333,163.6,2.70E+07
1026,285,3,4,6387.2,208.924,166,2.56E+07
1026,284,3,4,6467.7,218.532,166,2.59E+07
1026,283,3,4,6309.5,392.685,167,2.52E+07
1026,282,3,4,6399.2,181.9,166,2.56E+07
1026,281,3,4,6189.5,194.58,169.4,2.48E+07
1026,280,3,4,6335.5,291.554,167,2.53E+07
1026,279,3,4,6036.3,160.01,179.6,2.41E+07
1026,278,3,4,6415.4,166.658,166,2.57E+07
1026,277,3,4,6161,381.843,170.4,2.46E+07
1026,276,3,4,6283.7,290.06,172.8,2.51E+07
1026,275,3,4,6118.5,147.61,176.2,2.45E+07
1026,274,3,4,5952.2,179.116,186.4,2.38E+07
1026,273,3,4,5835.5,187.077,193.2,2.33E+07
1026,272,3,4,5871.4,180.457,196.6,2.35E+07
1026,271,3,4,5736.9,233.287,196.6,2.29E+07
1026,270,3,4,5761.4,140.703,200,2.30E+07
1026,269,3,4,5572.5,121.362,200,2.23E+07
1026,268,3,4,5722.6,277.519,193.2,2.29E+07
1026,267,3,4,5440.8,125.437,200,2.18E+07
1026,266,3,4,5661.5,89.8234,200,2.26E+07
1026,265,3,4,5383.2,217.836,200,2.15E+07
1026,264,3,4,5501.3,134.685,200,2.20E+07
1026,263,3,4,5420.5,143.897,200,2.17E+07
1026,262,3,4,5761.8,258.876,193.2,2.31E+07
1026,261,3,4,5301.4,153.06,200,2.12E+07
1026,260,3,4,5458.2,143.957,200,2.18E+07
1026,259,3,4,5160.6,127.919,210,2.06E+07
1026,258,3,4,6291.7,139.654,166,2.52E+07
1026,257,3,5,8137.6,646.366,132.1,3.26E+07
1026,256,3,5,7827.7,154.09,140.3,3.13E+07
1026,255,3,5,7810.3,448.955,137.2,3.12E+07
1026,254,3,5,7985.7,523.936,137.2,3.19E+07
1026,253,3,5,7735.2,212.143,142,3.09E+07
1026,252,3,5,7548,223.914,142,3.02E+07
1026,251,3,5,7439.7,200.454,142,2.98E+07
1026,250,3,5,7528.9,222.057,140.3,3.01E+07
1026,249,3,5,7436,261.536,140.3,2.97E+07
1026,248,3,5,7159,70.6994,142,2.86E+07
1026,247,3,5,7162.9,135.508,144.4,2.87E+07
1026,246,3,5,7254.3,141.942,142,2.90E+07
1026,245,3,5,6996.3,140.894,151.6,2.80E+07
1026,244,3,5,7172,331.949,154,2.87E+07
1026,243,3,5,7001.3,218.932,154,2.80E+07
1026,242,3,5,7129,285.046,149.2,2.85E+07
1026,241,3,5,6895,401.771,161.2,2.76E+07
1026,240,3,5,6763.9,168.778,163.6,2.71E+07
1026,239,3,5,6665.8,215.946,163.6,2.67E+07
1026,238,3,5,6922.8,321.484,158.8,2.77E+07
1026,237,3,5,6635.5,189.575,166,2.65E+07
1026,236,3,5,6707.7,116.3,163.6,2.68E+07
1026,235,3,5,6689.4,568.188,159.5,2.68E+07
1026,234,3,5,20563.3,8382.45,56,8.23E+07
1026,233,3,5,8860.6,2056.43,127.5,3.54E+07
1026,232,3,5,6053.1,189.928,179.6,2.42E+07
1026,231,3,5,6155.7,244.391,176.2,2.46E+07
1026,230,3,5,6052.2,73.5918,176.2,2.42E+07
1026,229,3,5,5938,111.08,193.2,2.38E+07
1026,228,3,5,5967.6,120.39,186.4,2.39E+07
1026,227,3,5,5932.5,225.369,193.2,2.37E+07
1026,226,3,5,6185.2,201.088,172.8,2.47E+07
1026,225,3,5,5758,174.652,200,2.30E+07
1026,224,3,5,5990.1,491.87,184,2.40E+07
1026,223,3,5,5568,99.6594,200,2.23E+07
1026,222,3,5,5707.7,81.021,200,2.28E+07
1026,221,3,5,5787.9,342.32,196.6,2.32E+07
1026,220,3,5,5525,185.617,200,2.21E+07
1026,219,3,5,5331.7,93.4035,200,2.13E+07
1026,218,3,5,5859.6,287.659,189.8,2.34E+07
1026,217,3,5,5433.3,232.742,200,2.17E+07
1026,216,3,5,5297,134.271,200,2.12E+07
1026,215,3,5,5539.7,262.323,196.6,2.22E+07
1026,214,3,5,5316.6,150.481,200,2.13E+07
1026,213,3,5,5267.3,224.218,205,2.11E+07
1026,212,3,5,5126.9,175.584,215,2.05E+07
1026,211,3,5,5064.2,81.8777,210,2.03E+07
1026,210,3,5,5449.5,328.191,201.6,2.18E+07
1026,209,3,5,5034.1,110.786,215,2.01E+07
1026,208,3,5,5009.6,129.229,230,2.00E+07
1026,207,3,5,5469.1,215.555,200,2.19E+07
1026,206,3,6,7314.6,165.276,142,2.93E+07
1026,205,3,6,6881.4,227.709,161.2,2.75E+07
1026,204,3,6,7063.5,131.108,149.2,2.83E+07
1026,203,3,6,6885.4,589.54,159.5,2.75E+07
1026,202,3,6,7096,241.027,154,2.84E+07
1026,201,3,6,6571.3,155.464,166,2.63E+07
1026,200,3,6,6789.2,204,163.6,2.72E+07
1026,199,3,6,6836.5,580.562,159.5,2.73E+07
1026,198,3,6,6832,210.682,161.2,2.73E+07
1026,197,3,6,6664.5,141.01,166,2.67E+07
1026,196,3,6,6542.4,176.46,166,2.62E+07
1026,195,3,6,6319.4,420.696,167,2.53E+07
1026,194,3,6,6825.8,194.912,163.6,2.73E+07
1026,193,3,6,6672.5,914.863,166.3,2.67E+07
1026,192,3,6,6382,472.035,164.6,2.55E+07
1026,191,3,6,5842.8,98.6963,196.6,2.34E+07
1026,190,3,6,6444,248.294,163.6,2.58E+07
1026,189,3,6,5782.1,137.63,196.6,2.31E+07
1026,188,3,6,6115.4,249.72,186.4,2.45E+07
1026,187,3,6,5728.1,188.909,196.6,2.29E+07
1026,186,3,6,5882.3,184.358,196.6,2.35E+07
1026,185,3,6,5562.3,123.304,200,2.23E+07
1026,184,3,6,5694.4,116.675,200,2.28E+07
1026,183,3,6,5418.9,117.218,200,2.17E+07
1026,182,3,6,5779.7,199.416,196.6,2.31E+07
1026,181,3,6,5285.3,95.8374,200,2.11E+07
1026,180,3,6,5500.6,150.2,200,2.20E+07
1026,179,3,6,5298.6,221.254,200,2.12E+07
1026,178,3,6,5439.9,145.605,200,2.18E+07
1026,177,3,6,5095.8,180.08,220,2.04E+07
1026,176,3,6,5356.3,363.254,196.6,2.14E+07
1026,175,3,6,4918.8,92.8879,240,1.97E+07
1026,174,3,6,5375.5,261.509,196.6,2.15E+07
1026,173,3,6,4979.9,82.6782,230,1.99E+07
1026,172,3,7,6585.9,210.046,166,2.63E+07
1026,171,3,7,6606.1,383.648,161.2,2.64E+07
1026,170,3,7,6795.3,171.954,163.6,2.72E+07
1026,169,3,7,6333.6,215.76,169.4,2.53E+07
1026,168,3,7,6247.4,183.13,166,2.50E+07
1026,167,3,7,6070,260.341,176.2,2.43E+07
1026,166,3,7,6285.9,277.469,169.4,2.51E+07
1026,165,3,7,5947.1,83.7275,189.8,2.38E+07
1026,164,3,7,5953.3,205.846,189.8,2.38E+07
1026,163,3,7,5762.6,124.983,196.6,2.31E+07
1026,162,3,7,6187.1,165.08,169.4,2.48E+07
1026,161,3,7,5955.9,359.948,183,2.38E+07
1026,160,3,7,5691,138.833,196.6,2.28E+07
1026,159,3,7,5533.4,188.179,200,2.21E+07
1026,158,3,7,5741.8,160.587,200,2.30E+07
1026,157,3,7,5368.1,179.886,200,2.15E+07
1026,156,3,7,5346,115.428,200,2.14E+07
1026,155,3,7,5301.7,135.869,200,2.12E+07
1026,154,3,7,5587.5,119.681,200,2.24E+07
1026,153,3,7,5243.8,378.179,206.6,2.10E+07
1026,152,3,7,5084.1,135.945,215,2.03E+07
1026,151,3,7,5201.9,699.394,214.2,2.08E+07
1026,150,3,7,5043,94.0914,210,2.02E+07
1026,149,3,7,4779.2,114.234,245,1.91E+07
1026,148,3,8,6709.6,167.22,166,2.68E+07
1026,147,3,8,6702.3,135.686,163.6,2.68E+07
1026,146,3,8,6550.3,182.502,166,2.62E+07
1026,145,3,8,6511.7,176.109,166,2.60E+07
1026,144,3,8,6327.2,214.442,166,2.53E+07
1026,143,3,8,6323.9,109.512,166,2.53E+07
1026,142,3,8,6189.7,276.181,176.2,2.48E+07
1026,141,3,8,6035.9,170.373,176.2,2.41E+07
1026,140,3,8,5857.1,87.7843,196.6,2.34E+07
1026,139,3,8,6059.2,227.778,186.4,2.42E+07
1026,138,3,8,5791.6,89.6428,200,2.32E+07
1026,137,3,8,5784.8,177.16,193.2,2.31E+07
1026,136,3,8,5523.3,183.511,200,2.21E+07
1026,135,3,8,5477.9,164.894,200,2.19E+07
1026,134,3,8,5466.8,243.272,205,2.19E+07
1026,133,3,8,5378.6,99.8781,200,2.15E+07
1026,132,3,8,5131.2,153.494,210,2.05E+07
1026,131,3,8,5300.6,196.287,205,2.12E+07
1026,130,3,8,6281.4,118.241,166,2.51E+07
1026,129,3,9,6034.3,84.1226,176.2,2.41E+07
1026,128,3,9,6008.9,142.055,186.4,2.40E+07
1026,127,3,9,5858.7,95.7821,200,2.34E+07
1026,126,3,9,5911.3,192.355,193.2,2.36E+07
1026,125,3,9,5828.8,163.236,193.2,2.33E+07
1026,124,3,9,5564.8,187.053,196.6,2.23E+07
1026,123,3,9,5494.7,130.278,200,2.20E+07
1026,122,3,9,5769.7,120.788,196.6,2.31E+07
1026,121,3,9,5267.9,181.74,200,2.11E+07
1026,120,3,9,5364.8,307.784,196.6,2.15E+07
1026,119,3,9,5106.7,109.399,210,2.04E+07
1026,118,3,9,5185.3,114.764,205,2.07E+07
1026,117,3,9,4965,252.875,230,1.99E+07
1026,116,3,9,4969.9,151.59,230,1.99E+07
1026,115,3,10,5947.2,205.889,189.8,2.38E+07
1026,114,3,10,6136.7,211.257,172.8,2.45E+07
1026,113,3,10,17724.7,7771.32,65.8,7.09E+07
1026,112,3,10,9629.5,1951.72,120.2,3.85E+07
1026,111,3,10,5527.9,269.697,196.6,2.21E+07
1026,110,3,10,5729.4,101.333,200,2.29E+07
1026,109,3,10,5236.4,169.6,200,2.09E+07
1026,108,3,10,5366.8,199.766,200,2.15E+07
1026,107,3,10,5003.7,170.523,225,2.00E+07
1026,106,3,10,5195,189.196,210,2.08E+07
1026,105,3,10,4928.9,133.983,235,1.97E+07
1026,104,3,11,5773.2,124.517,200,2.31E+07
1026,103,3,11,5682.3,83.0338,200,2.27E+07
1026,102,3,11,5826.4,162.422,196.6,2.33E+07
1026,101,3,11,5574.7,139.158,200,2.23E+07
1026,100,3,11,5519.4,272.454,196.6,2.21E+07
1026,99,3,11,5225.2,116.639,200,2.09E+07
1026,98,3,11,5332.8,166.404,200,2.13E+07
1026,97,3,11,5202,246.032,215,2.08E+07
1026,96,3,11,5052.5,119.919,220,2.02E+07
1026,95,3,12,5884.8,86.1728,196.6,2.35E+07
1026,94,3,12,6098.3,230.033,172.8,2.44E+07
1026,93,3,12,5803.2,188.191,196.6,2.32E+07
1026,92,3,12,5787.3,93.8318,200,2.32E+07
1026,91,3,12,5459.1,139.648,200,2.18E+07
1026,90,3,12,5505.8,155.527,200,2.20E+07
1026,89,3,12,5183.5,139.002,210,2.07E+07
1026,88,3,12,5543.5,436.002,196.6,2.22E+07
1026,87,3,13,5830.2,398.016,193.2,2.33E+07
1026,86,3,13,5696.8,158.07,196.6,2.28E+07
1026,85,3,13,5451.3,163.875,200,2.18E+07
1026,84,3,13,5245.3,94.2434,200,2.10E+07
1026,83,3,13,5261.5,221.808,205,2.10E+07
1026,82,3,13,5401.2,181.157,200,2.16E+07
1026,81,3,13,4983.6,206.36,235,1.99E+07
1026,80,3,14,5701.3,161.715,196.6,2.28E+07
1026,79,3,14,5512.6,104.799,200,2.21E+07
1026,78,3,14,5643.1,112.505,200,2.26E+07
1026,77,3,14,5254.1,164.061,200,2.10E+07
1026,76,3,14,5105.2,155.684,215,2.04E+07
1026,75,3,15,5647.5,196.804,200,2.26E+07
1026,74,3,15,5986.9,199.057,186.4,2.40E+07
1026,73,3,15,5349.2,110.365,200,2.14E+07
1026,72,3,15,5217.5,205.079,205,2.09E+07
1026,71,3,15,5106.2,156.154,215,2.04E+07
1026,70,3,16,5850.7,167.934,196.6,2.34E+07
1026,69,3,16,5690.4,186.038,196.6,2.28E+07
1026,68,3,16,5531.8,196.019,200,2.21E+07
1026,67,3,16,5276.3,109.5,200,2.11E+07
1026,66,3,16,5664.6,401.264,193.2,2.27E+07
1026,65,3,17,5489.5,181.256,200,2.20E+07
1026,64,3,17,5328.7,200.939,200,2.13E+07
1026,63,3,17,5227.7,219.32,205,2.09E+07
1026,62,3,18,5767.1,148.994,196.6,2.31E+07
1026,61,3,18,5400.1,96.9994,200,2.16E+07
1026,60,3,18,5293.2,288.556,200,2.12E+07
1026,59,3,18,4996.4,184.29,225,2.00E+07
1026,58,3,19,5777.6,84.4964,200,2.31E+07
1026,57,3,19,5213.1,87.4979,200,2.09E+07
1026,56,3,19,4987.2,109.548,225,2.00E+07
1026,55,3,20,5323.1,177.485,200,2.13E+07
1026,54,3,20,5483.1,176.11,200,2.19E+07
1026,53,3,21,5479.4,125.648,200,2.19E+07
1026,52,3,21,5312.5,84.6277,200,2.13E+07
1026,51,3,21,5399.5,646.002,194.2,2.16E+07
1026,50,3,22,5538.4,106.773,200,2.22E+07
1026,49,3,22,5139.7,148.629,205,2.06E+07
1026,48,3,23,5409.4,140.888,200,2.16E+07
1026,47,3,23,5186.2,109.934,205,2.07E+07
1026,46,3,24,5630.2,264.915,193.2,2.25E+07
1026,45,3,24,5510,164.343,200,2.20E+07
1026,44,3,25,5497.2,178.867,200,2.20E+07
1026,43,3,25,5222.8,147.925,200,2.09E+07
1026,42,3,26,5459.5,138.943,200,2.18E+07
1026,41,3,27,5399.5,173.567,200,2.16E+07
1026,40,3,27,5213.2,73.2432,200,2.09E+07
1026,39,3,28,5321.4,168.155,200,2.13E+07
1026,38,3,29,5585.1,372.77,196.6,2.23E+07
1026,37,3,30,5573.8,181.889,200,2.23E+07
1026,36,3,31,5468.4,168.452,200,2.19E+07
1026,35,3,32,5612.3,177.076,196.6,2.25E+07
1026,34,3,32,5400.3,275.046,200,2.16E+07
1026,33,3,34,5756,417.633,193.2,2.30E+07
1026,32,3,35,5498.6,168.652,200,2.20E+07
1026,31,3,36,5414.3,168.325,200,2.17E+07
1026,30,3,37,5608.3,483.499,196.6,2.24E+07
1026,29,3,38,5564.8,660.988,194.2,2.23E+07
1026,28,3,40,5592.6,140.987,200,2.24E+07
1026,27,3,41,5409.8,131.197,200,2.16E+07
1026,26,3,43,5627.1,186.913,196.6,2.25E+07
1026,25,3,45,5447.8,147.749,200,2.18E+07
1026,24,3,47,5564.7,189.434,200,2.23E+07
1026,23,3,49,5718,390.302,193.2,2.29E+07
1026,22,3,52,5761.4,130.811,200,2.30E+07
1026,21,3,54,5603.4,176.01,196.6,2.24E+07
1026,20,3,57,5770.8,221.058,196.6,2.31E+07
1026,19,3,61,5819,156.281,196.6,2.33E+07
1026,18,3,64,5925.5,173.877,193.2,2.37E+07
1026,17,3,69,5729.5,120.712,200,2.29E+07
1026,16,3,74,5980.4,79.0673,186.4,2.39E+07
1026,15,3,79,5706.2,183.256,196.6,2.28E+07
1026,14,3,86,5508.3,128.204,200,2.20E+07
1026,13,3,94,5676.2,145.798,196.6,2.27E+07
1026,12,3,103,5806.6,235.899,196.6,2.32E+07
1026,11,3,114,5744.2,114.856,200,2.30E+07
1026,10,3,128,5885.1,157.561,193.2,2.35E+07
1026,9,3,147,6175.8,142.716,166,2.47E+07
1026,8,3,171,6284.2,211.737,166,2.51E+07
1026,7,3,205,6147.9,205.13,176.2,2.46E+07
1026,6,3,256,6705.9,172.343,166,2.68E+07
1026,5,3,342,7370.7,332.109,142.7,2.95E+07
1026,4,3,512,8585.2,298.197,123.6,3.43E+07
